order_id,order_date,Month Name,region,salesperson,category,product,quantity,unit_price,sales_amount,discount,profit,profit_margin_percent,payment_mode
54,02-09-2025,September,West,Priya,Electronics,Keyboard,12,49515,594180,94685.17,146088.4,24.59,Cash
55,05-06-2026,June,Central,Rahul,Appliances,Mixer,1,61470,61470,3869.53,10150.36,16.51,UPI
56,04-12-2025,December,East,Kiran,Office Supplies,Stapler,5,69266,346330,14505.16,70336.92,20.31,Card
57,11-05-2026,May,Central,Priya,Electronics,Tablet,15,46391,695865,108311.23,184574.9,26.52,UPI
58,23-11-2025,November,East,Arjun,Office Supplies,Printer Paper,7,44221,309547,52487.48,82724,26.72,Card
59,11-06-2026,June,North,Priya,Office Supplies,Pen Set,2,40679,81358,2399.56,15936.03,19.59,Net Banking
60,28-07-2025,July,West,Sneha,Appliances,Refrigerator,9,72337,651033,90264.09,38001.27,5.84,Card
61,30-01-2025,January,North,Sneha,Appliances,Microwave,11,28389,312279,17824.89,79063.55,25.32,Net Banking
62,07-03-2025,March,Central,Sneha,Electronics,Laptop,2,10749,21498,2797.43,6852.77,31.88,Cash
63,26-01-2025,January,East,Neha,Furniture,Bookshelf,12,9090,109080,3877.81,21564.08,19.77,UPI
64,05-01-2025,January,West,Neha,Appliances,Air Conditioner,13,68203,886639,22448.02,169074.46,19.07,Cash
65,05-02-2026,February,North,Neha,Electronics,Phone,7,22780,159460,30071.4,11873.37,7.45,Cash
66,19-06-2025,June,North,Vikram,Office Supplies,Stapler,9,48773,438957,19568.92,111178.54,25.33,Cash
67,15-02-2025,February,West,Rahul,Furniture,Bookshelf,13,70343,914459,166860.59,-1821.51,-0.2,Cash
68,29-08-2025,August,East,Meera,Electronics,Monitor,1,61739,61739,3180.97,13803.16,22.36,UPI
69,27-05-2025,May,East,Kiran,Electronics,Mouse,6,15621,93726,3037.42,21735,23.19,Card
70,05-06-2026,June,Central,Vikram,Office Supplies,Marker,8,28768,230144,17399.13,25677.87,11.16,Card
71,23-09-2025,September,West,Vikram,Furniture,Bookshelf,2,54579,109158,13987.36,19779.09,18.12,Net Banking
72,29-01-2026,January,North,Rahul,Appliances,Washing Machine,7,21887,153209,16859.64,31953.52,20.86,Net Banking
73,19-07-2025,July,North,Sneha,Electronics,Phone,12,59482,713784,26540.4,179398.14,25.13,UPI
74,08-04-2026,April,Central,Anjali,Electronics,Mouse,3,56401,169203,4181.41,56798.44,33.57,Cash
75,25-12-2025,December,East,Priya,Office Supplies,Notebook,8,68353,546824,7651.6,227140.91,41.54,Net Banking
76,06-11-2025,November,West,Sneha,Appliances,Refrigerator,11,34409,378499,70781.79,90148.3,23.82,Card
77,29-04-2025,April,North,Arjun,Office Supplies,Printer Paper,6,69026,414156,24606.84,58762.67,14.19,Card
78,28-11-2025,November,Central,Neha,Office Supplies,Printer Paper,13,72727,945451,21889.9,281864.79,29.81,Net Banking
79,03-01-2026,January,West,Priya,Electronics,Keyboard,4,49548,198192,12176.03,26435.57,13.34,Card
80,17-03-2026,March,North,Anjali,Office Supplies,Marker,7,59599,417193,56927.93,109942.11,26.35,UPI
81,11-06-2026,June,South,Arjun,Office Supplies,Notebook,9,36086,324774,18176.11,88396.55,27.22,Card
82,12-05-2026,May,East,Kiran,Electronics,Laptop,9,44242,398178,76343.31,19781.97,4.97,UPI
83,18-09-2025,September,South,Sneha,Appliances,Mixer,10,13730,137300,23921.52,5937.95,4.32,UPI
84,01-02-2026,February,East,Neha,Furniture,Sofa,1,75924,75924,356.67,27386.37,36.07,UPI
85,10-04-2026,April,North,Vikram,Appliances,Microwave,11,49217,541387,94288.96,7810.54,1.44,UPI
86,21-04-2026,April,East,Meera,Office Supplies,Notebook,8,78073,624584,50966.21,81460.32,13.04,UPI
87,02-08-2025,August,West,Sneha,Furniture,Desk,10,24161,241610,2059.9,76092.42,31.49,UPI
88,16-05-2026,May,North,Anjali,Appliances,Washing Machine,7,21779,152453,8389.94,19617.55,12.87,UPI
89,05-01-2025,January,South,Anjali,Electronics,Laptop,10,71274,712740,24796.95,139927.53,19.63,UPI
90,13-05-2025,May,Central,Priya,Appliances,Mixer,3,65013,195039,31826.95,42928.15,22.01,Cash
91,19-04-2026,April,East,Vikram,Office Supplies,Pen Set,1,3989,3989,427.19,1335.2,33.47,Cash
92,10-03-2026,March,West,Neha,Office Supplies,Pen Set,8,20258,162064,10281.48,39138.62,24.15,Card
93,04-08-2025,August,West,Vikram,Office Supplies,Notebook,7,8658,60606,9469.3,17266.58,28.49,UPI
94,05-03-2026,March,East,Arjun,Appliances,Microwave,10,16074,160740,30547.21,37967.58,23.62,Cash
95,26-01-2026,January,East,Arjun,Electronics,Phone,11,24097,265067,32489.26,46974.24,17.72,UPI
96,25-05-2026,May,West,Kiran,Appliances,Microwave,14,49042,686588,7912.97,195345.41,28.45,UPI
97,21-01-2025,January,Central,Vikram,Furniture,Table,2,22330,44660,5863.23,13427.39,30.07,Net Banking
98,06-01-2025,January,South,Neha,Electronics,Tablet,9,17406,156654,30200.01,34570.78,22.07,Net Banking
99,04-10-2025,October,West,Sneha,Electronics,Mouse,13,8811,114543,1879.29,41646.23,36.36,Cash
100,03-02-2026,February,North,Vikram,Electronics,Laptop,13,31583,410579,13555.82,81223.78,19.78,Cash
101,07-01-2026,January,East,Kiran,Appliances,Microwave,4,34246,136984,8504.06,45336.84,33.1,UPI
102,12-10-2025,October,East,Neha,Appliances,Washing Machine,4,44951,179804,25423.37,42833.87,23.82,Net Banking
103,23-12-2025,December,South,Rahul,Office Supplies,Marker,9,55271,497439,60073.55,43594.6,8.76,Cash
104,19-05-2026,May,South,Vikram,Furniture,Chair,12,77149,925788,17789.02,243413.5,26.29,Card
105,01-08-2025,August,Central,Neha,Office Supplies,Marker,3,14270,42810,4704.79,11628.85,27.16,Cash
106,23-12-2025,December,East,Vikram,Office Supplies,Envelope,2,33276,66552,9683.66,10548.67,15.85,Cash
107,26-02-2025,February,West,Sneha,Furniture,Desk,6,6956,41736,6256.86,1933.3,4.63,Cash
108,09-02-2026,February,East,Neha,Furniture,Cabinet,8,66454,531632,33032.13,74432.74,14,Card
109,23-06-2025,June,Central,Kiran,Electronics,Monitor,3,74158,222474,25218.54,53946.08,24.25,Card
110,14-03-2026,March,North,Priya,Furniture,Bookshelf,13,45785,595205,1001.82,233185.34,39.18,UPI
111,28-10-2025,October,East,Rahul,Furniture,Cabinet,12,25644,307728,33411.46,22675.4,7.37,Net Banking
112,01-06-2025,June,East,Meera,Appliances,Air Conditioner,2,4678,9356,219.66,2916.13,31.17,Card
113,03-11-2025,November,East,Priya,Electronics,Tablet,13,44840,582920,114442.28,23713.85,4.07,Net Banking
114,22-06-2025,June,East,Kiran,Office Supplies,Envelope,6,8694,52164,5148.94,13761.09,26.38,Cash
115,08-06-2026,June,North,Arjun,Office Supplies,Marker,6,22650,135900,4303.23,31907.2,23.48,Card
116,16-07-2025,July,West,Vikram,Furniture,Cabinet,8,49523,396184,45996.44,58963.95,14.88,Net Banking
117,19-10-2025,October,East,Rohit,Furniture,Bookshelf,9,62137,559233,63817.12,187682,33.56,UPI
118,23-03-2025,March,West,Sneha,Appliances,Washing Machine,9,61688,555192,93053.94,24551.14,4.42,Net Banking
119,15-05-2026,May,South,Neha,Electronics,Keyboard,10,2579,25790,1291.45,7374.44,28.59,Cash
120,11-04-2025,April,West,Rahul,Appliances,Refrigerator,10,63031,630310,39695.79,193640.85,30.72,Net Banking
121,23-10-2025,October,South,Rohit,Electronics,Mouse,6,22593,135558,5152.16,40854.84,30.14,Net Banking
122,02-11-2025,November,West,Vikram,Office Supplies,Envelope,15,41595,623925,37835.22,152541.17,24.45,Net Banking
123,31-01-2025,January,West,Vikram,Appliances,Microwave,11,69798,767778,35769.83,252853.85,32.93,Card
124,30-04-2025,April,North,Meera,Furniture,Chair,1,42853,42853,3899.89,12578.06,29.35,Cash
125,14-09-2025,September,North,Vikram,Appliances,Air Conditioner,2,51540,103080,15215.1,28154.13,27.31,UPI
126,01-03-2026,March,West,Rahul,Appliances,Microwave,11,1513,16643,1217.52,5104.16,30.67,Card
127,12-11-2025,November,East,Sneha,Appliances,Air Conditioner,1,55989,55989,2034.94,17269.24,30.84,Cash
128,14-01-2025,January,South,Rohit,Appliances,Air Conditioner,9,25710,231390,4678.45,68946.15,29.8,Net Banking
129,11-06-2026,June,North,Anjali,Office Supplies,Envelope,7,61488,430416,45089.13,92571.5,21.51,Cash
130,02-01-2025,January,North,Vikram,Furniture,Chair,5,4983,24915,792.8,8377.98,33.63,Cash
131,15-03-2026,March,East,Neha,Electronics,Mouse,8,13506,108048,17597.65,18283.94,16.92,UPI
132,17-01-2026,January,North,Meera,Appliances,Microwave,3,37264,111792,22174.98,-12.55,-0.01,Net Banking
133,21-10-2025,October,South,Vikram,Office Supplies,Marker,9,37764,339876,38760.77,85864.12,25.26,Net Banking
134,20-05-2025,May,South,Sneha,Furniture,Table,9,38048,342432,11414.91,126439.3,36.92,Card
135,12-06-2025,June,South,Rahul,Appliances,Refrigerator,13,32499,422487,60397,22107.58,5.23,UPI
136,11-10-2025,October,West,Arjun,Furniture,Chair,6,3334,20004,990.23,3917.61,19.58,Cash
137,15-04-2025,April,East,Rohit,Furniture,Cabinet,15,53035,795525,11163.66,329992.08,41.48,Card
138,14-01-2025,January,West,Meera,Electronics,Laptop,13,46617,606021,2721.88,147203.47,24.29,UPI
139,29-08-2025,August,West,Sneha,Furniture,Cabinet,15,36221,543315,7353.91,195396.23,35.96,Net Banking
140,15-06-2026,June,South,Rohit,Furniture,Bookshelf,13,64850,843050,62219.56,128188.36,15.21,Card
141,19-02-2025,February,West,Rahul,Office Supplies,Envelope,10,20652,206520,13002,79673.87,38.58,Cash
142,02-12-2025,December,West,Rohit,Appliances,Mixer,1,76096,76096,6777.07,10237.09,13.45,UPI
143,14-06-2025,June,East,Kiran,Office Supplies,Stapler,12,77416,928992,27324.58,204376.42,22,UPI
144,19-09-2025,September,Central,Rahul,Electronics,Monitor,3,49738,149214,28332,4607.69,3.09,Cash
145,05-05-2025,May,East,Arjun,Furniture,Desk,12,68082,816984,71022.2,216709.6,26.53,Cash
146,04-04-2025,April,South,Vikram,Office Supplies,Envelope,3,67262,201786,24124.74,12699.37,6.29,Cash
147,15-09-2025,September,Central,Neha,Electronics,Mouse,8,39356,314848,25254.27,62140.68,19.74,Card
148,08-02-2025,February,North,Kiran,Appliances,Refrigerator,13,39591,514683,100852.07,57216.88,11.12,Net Banking
149,05-02-2025,February,North,Neha,Furniture,Chair,6,15958,95748,870.24,38455.34,40.16,Card
150,01-03-2026,March,South,Anjali,Appliances,Washing Machine,14,25893,362502,40741.58,54508.77,15.04,UPI
151,14-05-2025,May,Central,Vikram,Furniture,Bookshelf,5,13911,69555,1016.56,18755.44,26.96,Net Banking
152,06-01-2025,January,North,Meera,Appliances,Refrigerator,4,61905,247620,5405.4,63810.22,25.77,Net Banking
153,21-04-2026,April,West,Neha,Electronics,Mouse,13,40562,527306,94443.54,13626.62,2.58,UPI
154,26-01-2025,January,West,Sneha,Appliances,Microwave,2,55543,111086,4012.36,39124.82,35.22,Cash
155,26-04-2025,April,North,Anjali,Office Supplies,Stapler,4,66358,265432,30213.31,34086.66,12.84,Cash
156,22-10-2025,October,West,Rohit,Electronics,Keyboard,2,55959,111918,4914.57,28882.66,25.81,UPI
157,26-02-2026,February,East,Neha,Office Supplies,Notebook,13,49891,648583,118368.77,94705.3,14.6,Card
158,21-12-2025,December,West,Meera,Furniture,Cabinet,10,36966,369660,16124.19,140011.22,37.88,Card
159,20-11-2025,November,South,Anjali,Furniture,Cabinet,8,68928,551424,5785.9,237706.46,43.11,UPI
160,07-12-2025,December,Central,Kiran,Furniture,Bookshelf,9,38407,345663,51731.83,47373.26,13.71,Card
161,15-12-2025,December,East,Rahul,Electronics,Tablet,8,75240,601920,116508.13,135387.34,22.49,Card
162,26-11-2025,November,North,Rohit,Appliances,Mixer,10,64958,649580,28873.41,118869.32,18.3,Net Banking
163,27-02-2025,February,East,Anjali,Electronics,Tablet,2,44402,88804,3138.95,30626.86,34.49,Card
164,14-07-2025,July,Central,Vikram,Furniture,Desk,8,3490,27920,5044.44,7097.51,25.42,Cash
165,13-04-2026,April,East,Rohit,Appliances,Air Conditioner,15,53699,805485,3104.85,264967.24,32.9,Card
166,03-02-2025,February,North,Rohit,Electronics,Monitor,4,14038,56152,1455.23,14948.57,26.62,Card
167,29-05-2026,May,Central,Anjali,Furniture,Desk,12,8109,97308,2406.63,20683.68,21.26,Card
168,15-10-2025,October,West,Sneha,Electronics,Phone,4,62851,251404,47968.6,21469.62,8.54,Cash
169,13-07-2025,July,South,Arjun,Furniture,Desk,1,13134,13134,48.42,5705.35,43.44,Card
170,12-03-2025,March,West,Rohit,Appliances,Refrigerator,6,47204,283224,53862.2,12719.23,4.49,Net Banking
171,16-05-2026,May,South,Vikram,Electronics,Tablet,15,22191,332865,19451.51,116549.66,35.01,UPI
172,15-02-2025,February,North,Anjali,Office Supplies,Printer Paper,10,6581,65810,2248.95,22307.54,33.9,Card
173,25-04-2025,April,Central,Neha,Electronics,Keyboard,5,34639,173195,10762.36,53054.11,30.63,Net Banking
174,22-02-2026,February,West,Meera,Furniture,Chair,2,77489,154978,26757.71,15655.47,10.1,Card
175,08-03-2026,March,Central,Priya,Appliances,Refrigerator,5,6581,32905,4822.67,9706.86,29.5,UPI
176,18-08-2025,August,North,Priya,Furniture,Chair,7,46484,325388,31875.93,111331,34.21,UPI
177,12-05-2025,May,East,Rahul,Office Supplies,Envelope,7,76212,533484,6866.82,96616.8,18.11,Net Banking
178,31-08-2025,August,West,Neha,Furniture,Cabinet,6,66159,396954,49025.84,37391.4,9.42,Net Banking
179,11-01-2025,January,East,Kiran,Electronics,Monitor,2,14179,28358,5127.13,101.87,0.36,UPI
180,25-03-2026,March,South,Sneha,Office Supplies,Pen Set,6,19350,116100,4126.61,20418.35,17.59,UPI
181,29-08-2025,August,North,Rahul,Furniture,Sofa,3,51612,154836,12780.88,44699.94,28.87,Cash
182,22-12-2025,December,South,Rohit,Electronics,Tablet,1,2407,2407,59.13,565.85,23.51,Net Banking
183,26-05-2026,May,North,Rohit,Appliances,Refrigerator,3,49877,149631,16691.62,47858.47,31.98,Cash
184,07-08-2025,August,North,Sneha,Appliances,Mixer,6,13214,79284,14201.7,15980.82,20.16,Net Banking
185,01-01-2025,January,West,Arjun,Furniture,Bookshelf,3,54380,163140,25515.84,44887.23,27.51,Card
186,03-11-2025,November,North,Rohit,Appliances,Washing Machine,8,45431,363448,1416.05,83328.06,22.93,Cash
187,04-02-2026,February,Central,Meera,Electronics,Phone,7,13117,91819,17178.08,3277.52,3.57,Cash
188,11-06-2026,June,North,Arjun,Furniture,Bookshelf,4,54082,216328,23802.17,73170.43,33.82,UPI
189,12-06-2026,June,East,Neha,Appliances,Air Conditioner,3,41383,124149,12921.34,34613.49,27.88,Net Banking
190,21-08-2025,August,West,Arjun,Furniture,Table,5,29276,146380,17086.33,41259.81,28.19,Card
191,16-02-2026,February,East,Priya,Appliances,Mixer,7,65339,457373,67390.19,58882.95,12.87,Card
192,22-05-2026,May,West,Sneha,Appliances,Washing Machine,13,19011,247143,34161.16,17132.7,6.93,Card
193,01-01-2025,January,North,Kiran,Electronics,Monitor,14,3701,51814,7325.29,2457.81,4.74,UPI
194,04-05-2025,May,North,Neha,Electronics,Tablet,13,6710,87230,13026.18,20526.83,23.53,UPI
195,05-08-2025,August,West,Vikram,Electronics,Monitor,7,77978,545846,106410.66,13734.62,2.52,Net Banking
196,03-04-2026,April,East,Sneha,Appliances,Refrigerator,10,44310,443100,79246.65,690.62,0.16,Cash
197,20-05-2025,May,West,Rahul,Electronics,Phone,2,13091,26182,4679.89,810.74,3.1,Card
198,16-09-2025,September,East,Meera,Electronics,Tablet,4,54213,216852,30798.75,25803.51,11.9,UPI
199,12-03-2026,March,Central,Neha,Office Supplies,Notebook,2,39497,78994,7265.47,8423.18,10.66,UPI
200,15-03-2026,March,East,Sneha,Office Supplies,Stapler,10,72811,728110,58972.6,144100.69,19.79,Cash
201,28-06-2025,June,East,Rahul,Office Supplies,Printer Paper,13,65971,857623,143835.9,154563.04,18.02,Card
202,12-06-2025,June,South,Neha,Furniture,Sofa,1,22918,22918,1927.3,2365.91,10.32,Card
203,13-11-2025,November,North,Vikram,Appliances,Air Conditioner,7,2904,20328,499.32,7533.99,37.06,Card
204,30-09-2025,September,North,Neha,Electronics,Phone,11,48197,530167,40063.76,112607.07,21.24,Card
205,18-01-2025,January,West,Kiran,Electronics,Mouse,11,62328,685608,5137.27,209835.89,30.61,Net Banking
206,12-04-2025,April,East,Vikram,Appliances,Microwave,4,60313,241252,14511.06,32870.09,13.62,UPI
207,23-12-2025,December,West,Vikram,Appliances,Washing Machine,11,48968,538648,4265.56,200286.87,37.18,Net Banking
208,26-08-2025,August,West,Rohit,Appliances,Mixer,2,62086,124172,19337.52,33195.01,26.73,Cash
209,07-09-2025,September,East,Priya,Office Supplies,Envelope,5,21177,105885,3998.36,43409.01,41,UPI
210,18-09-2025,September,North,Priya,Appliances,Mixer,2,64281,128562,10655.27,12550.21,9.76,UPI
211,10-10-2025,October,West,Priya,Appliances,Washing Machine,10,68550,685500,91710.44,51730.88,7.55,Net Banking
212,27-10-2025,October,West,Anjali,Office Supplies,Printer Paper,10,60857,608570,67864.72,90242.95,14.83,Card
213,09-11-2025,November,South,Neha,Office Supplies,Stapler,9,32681,294129,18038.99,71381.41,24.27,Net Banking
214,31-01-2025,January,East,Arjun,Appliances,Air Conditioner,2,1557,3114,300.88,744.76,23.92,Card
215,11-02-2025,February,Central,Meera,Office Supplies,Stapler,10,65946,659460,49432.18,157792.46,23.93,Cash
216,23-04-2026,April,West,Rahul,Office Supplies,Pen Set,1,46669,46669,2952.43,16393.72,35.13,UPI
217,18-01-2025,January,Central,Anjali,Electronics,Tablet,13,43562,566306,60802.61,170322.99,30.08,Cash
218,26-01-2025,January,North,Meera,Office Supplies,Stapler,12,12952,155424,22333.31,31759.92,20.43,Net Banking
219,14-01-2025,January,Central,Meera,Electronics,Monitor,12,58235,698820,51048.31,201915.45,28.89,UPI
220,25-03-2026,March,East,Meera,Appliances,Microwave,9,28753,258777,48143.07,38110.61,14.73,Cash
221,15-10-2025,October,North,Priya,Appliances,Mixer,12,67019,804228,100656.54,90305.99,11.23,Net Banking
222,28-02-2026,February,North,Rohit,Furniture,Cabinet,10,49132,491320,21071.63,199644.07,40.63,Cash
223,31-05-2025,May,Central,Rohit,Office Supplies,Notebook,15,31252,468780,70497.77,132044.06,28.17,Card
224,31-03-2025,March,South,Arjun,Furniture,Cabinet,5,73565,367825,56012.55,100198.29,27.24,UPI
225,16-10-2025,October,South,Meera,Furniture,Cabinet,5,29446,147230,3738.7,32607.74,22.15,Net Banking
226,02-08-2025,August,East,Sneha,Electronics,Laptop,15,75537,1133055,62302.17,326188.33,28.79,UPI
227,18-04-2025,April,Central,Arjun,Appliances,Washing Machine,10,43627,436270,82465.59,43475.65,9.97,UPI
228,17-10-2025,October,East,Sneha,Office Supplies,Marker,12,30186,362232,41847.75,102933.04,28.42,Card
229,12-01-2026,January,North,Rahul,Electronics,Laptop,10,13156,131560,8500.82,37251.23,28.32,Cash
230,17-07-2025,July,East,Sneha,Furniture,Table,4,46911,187644,14672.9,46572.87,24.82,Cash
231,24-01-2025,January,East,Kiran,Appliances,Washing Machine,12,49222,590664,43066.23,80753.51,13.67,Net Banking
232,17-07-2025,July,South,Arjun,Appliances,Washing Machine,15,27567,413505,61225.57,111104,26.87,Card
233,05-02-2025,February,North,Anjali,Electronics,Laptop,9,4399,39591,49.8,16965.01,42.85,Cash
234,07-01-2025,January,Central,Neha,Furniture,Sofa,4,32528,130112,3180.07,44651.65,34.32,Cash
235,29-05-2026,May,North,Meera,Office Supplies,Notebook,14,53011,742154,9300.29,276338.92,37.23,Net Banking
236,20-01-2026,January,East,Sneha,Appliances,Refrigerator,2,14484,28968,464.05,5105.17,17.62,Net Banking
237,05-02-2026,February,East,Meera,Electronics,Mouse,3,66903,200709,36863.27,23146.27,11.53,Net Banking
238,25-01-2026,January,East,Vikram,Electronics,Tablet,15,14106,211590,11220.54,72915.26,34.46,Card
239,15-06-2026,June,South,Priya,Electronics,Monitor,4,13993,55972,4461.12,14197.95,25.37,Net Banking
240,14-06-2025,June,Central,Arjun,Electronics,Laptop,13,55543,722059,13578.61,222040.68,30.75,UPI
241,05-04-2025,April,Central,Kiran,Office Supplies,Pen Set,7,51585,361095,55618.87,66046.87,18.29,UPI
242,04-07-2025,July,West,Rohit,Office Supplies,Notebook,6,30522,183132,18329,57934.14,31.64,UPI
243,25-08-2025,August,West,Sneha,Office Supplies,Pen Set,4,26017,104068,18143.13,4874.69,4.68,Card
244,26-05-2026,May,Central,Vikram,Office Supplies,Marker,14,55275,773850,122100.63,147507.59,19.06,UPI
245,23-03-2026,March,East,Rahul,Electronics,Tablet,11,14533,159863,15777.78,50242.49,31.43,Card
246,27-08-2025,August,West,Priya,Electronics,Laptop,2,34947,69894,7075.64,6437.55,9.21,Net Banking
247,13-12-2025,December,Central,Kiran,Office Supplies,Pen Set,11,6348,69828,6772.19,21533.46,30.84,Cash
248,03-03-2025,March,Central,Rahul,Appliances,Microwave,12,50728,608736,106765.73,163338.39,26.83,Cash
249,08-01-2026,January,East,Priya,Appliances,Mixer,7,75336,527352,2674.97,218913.01,41.51,Cash
250,10-06-2026,June,North,Kiran,Furniture,Cabinet,13,74439,967707,44510.95,268201.81,27.72,Cash
251,13-07-2025,July,North,Sneha,Appliances,Refrigerator,4,990,3960,245.55,669.77,16.91,Card
252,15-07-2025,July,Central,Kiran,Appliances,Refrigerator,13,28887,375531,39098.15,63186.21,16.83,Cash
253,03-05-2026,May,Central,Neha,Appliances,Air Conditioner,15,34357,515355,51423.73,76909.71,14.92,Cash
