order_id,order_date,region,salesperson,category,product,quantity,unit_price,sales_amount,discount,profit,payment_mode
52,2026-05-03,South,Rahul,Furniture,Table,7,45896,321272,23184.96,110400.19,Card
53,2025-09-07,East,Priya,Furniture,Table,15,51491,772365,20553.79,294893.54,Net Banking
54,2025-09-02,West,Priya,Electronics,Keyboard,12,49515,594180,94685.17,146088.4,Cash
55,2026-06-05,Central,Rahul,Appliances,Mixer,1,61470,61470,3869.53,10150.36,UPI
56,2025-12-04,East,Kiran,Office Supplies,Stapler,5,69266,346330,14505.16,70336.92,Card
57,2026-05-11,Central,Priya,Electronics,Tablet,15,46391,695865,108311.23,184574.9,UPI
58,2025-11-23,East,Arjun,Office Supplies,Printer Paper,7,44221,309547,52487.48,82724.0,Card
59,2026-06-11,North,Priya,Office Supplies,Pen Set,2,40679,81358,2399.56,15936.03,Net Banking
60,2025-07-28,West,Sneha,Appliances,Refrigerator,9,72337,651033,90264.09,38001.27,Card
61,2025-01-30,North,Sneha,Appliances,Microwave,11,28389,312279,17824.89,79063.55,Net Banking
62,2025-03-07,Central,Sneha,Electronics,Laptop,2,10749,21498,2797.43,6852.77,Cash
63,2025-01-26,East,Neha,Furniture,Bookshelf,12,9090,109080,3877.81,21564.08,UPI
64,2025-01-05,West,Neha,Appliances,Air Conditioner,13,68203,886639,22448.02,169074.46,Cash
65,2026-02-05,North,Neha,Electronics,Phone,7,22780,159460,30071.4,11873.37,Cash
66,2025-06-19,North,Vikram,Office Supplies,Stapler,9,48773,438957,19568.92,111178.54,Cash
67,2025-02-15,West,Rahul,Furniture,Bookshelf,13,70343,914459,166860.59,-1821.51,Cash
68,2025-08-29,East,Meera,Electronics,Monitor,1,61739,61739,3180.97,13803.16,UPI
69,2025-05-27,East,Kiran,Electronics,Mouse,6,15621,93726,3037.42,21735.0,Card
70,2026-06-05,Central,Vikram,Office Supplies,Marker,8,28768,230144,17399.13,25677.87,Card
71,2025-09-23,West,Vikram,Furniture,Bookshelf,2,54579,109158,13987.36,19779.09,Net Banking
72,2026-01-29,North,Rahul,Appliances,Washing Machine,7,21887,153209,16859.64,31953.52,Net Banking
73,2025-07-19,North,Sneha,Electronics,Phone,12,59482,713784,26540.4,179398.14,UPI
74,2026-04-08,Central,Anjali,Electronics,Mouse,3,56401,169203,4181.41,56798.44,Cash
75,2025-12-25,East,Priya,Office Supplies,Notebook,8,68353,546824,7651.6,227140.91,Net Banking
76,2025-11-06,West,Sneha,Appliances,Refrigerator,11,34409,378499,70781.79,90148.3,Card
77,2025-04-29,North,Arjun,Office Supplies,Printer Paper,6,69026,414156,24606.84,58762.67,Card
78,2025-11-28,Central,Neha,Office Supplies,Printer Paper,13,72727,945451,21889.9,281864.79,Net Banking
79,2026-01-03,West,Priya,Electronics,Keyboard,4,49548,198192,12176.03,26435.57,Card
80,2026-03-17,North,Anjali,Office Supplies,Marker,7,59599,417193,56927.93,109942.11,UPI
81,2026-06-11,South,Arjun,Office Supplies,Notebook,9,36086,324774,18176.11,88396.55,Card
82,2026-05-12,East,Kiran,Electronics,Laptop,9,44242,398178,76343.31,19781.97,UPI
83,2025-09-18,South,Sneha,Appliances,Mixer,10,13730,137300,23921.52,5937.95,UPI
84,2026-02-01,East,Neha,Furniture,Sofa,1,75924,75924,356.67,27386.37,UPI
85,2026-04-10,North,Vikram,Appliances,Microwave,11,49217,541387,94288.96,7810.54,UPI
86,2026-04-21,East,Meera,Office Supplies,Notebook,8,78073,624584,50966.21,81460.32,UPI
87,2025-08-02,West,Sneha,Furniture,Desk,10,24161,241610,2059.9,76092.42,UPI
88,2026-05-16,North,Anjali,Appliances,Washing Machine,7,21779,152453,8389.94,19617.55,UPI
89,2025-01-05,South,Anjali,Electronics,Laptop,10,71274,712740,24796.95,139927.53,UPI
90,2025-05-13,Central,Priya,Appliances,Mixer,3,65013,195039,31826.95,42928.15,Cash
91,2026-04-19,East,Vikram,Office Supplies,Pen Set,1,3989,3989,427.19,1335.2,Cash
92,2026-03-10,West,Neha,Office Supplies,Pen Set,8,20258,162064,10281.48,39138.62,Card
93,2025-08-04,West,Vikram,Office Supplies,Notebook,7,8658,60606,9469.3,17266.58,UPI
94,2026-03-05,East,Arjun,Appliances,Microwave,10,16074,160740,30547.21,37967.58,Cash
95,2026-01-26,East,Arjun,Electronics,Phone,11,24097,265067,32489.26,46974.24,UPI
96,2026-05-25,West,Kiran,Appliances,Microwave,14,49042,686588,7912.97,195345.41,UPI
97,2025-01-21,Central,Vikram,Furniture,Table,2,22330,44660,5863.23,13427.39,Net Banking
98,2025-01-06,South,Neha,Electronics,Tablet,9,17406,156654,30200.01,34570.78,Net Banking
99,2025-10-04,West,Sneha,Electronics,Mouse,13,8811,114543,1879.29,41646.23,Cash
100,2026-02-03,North,Vikram,Electronics,Laptop,13,31583,410579,13555.82,81223.78,Cash
101,2026-01-07,East,Kiran,Appliances,Microwave,4,34246,136984,8504.06,45336.84,UPI
102,2025-10-12,East,Neha,Appliances,Washing Machine,4,44951,179804,25423.37,42833.87,Net Banking
103,2025-12-23,South,Rahul,Office Supplies,Marker,9,55271,497439,60073.55,43594.6,Cash
104,2026-05-19,South,Vikram,Furniture,Chair,12,77149,925788,17789.02,243413.5,Card
105,2025-08-01,Central,Neha,Office Supplies,Marker,3,14270,42810,4704.79,11628.85,Cash
106,2025-12-23,East,Vikram,Office Supplies,Envelope,2,33276,66552,9683.66,10548.67,Cash
107,2025-02-26,West,Sneha,Furniture,Desk,6,6956,41736,6256.86,1933.3,Cash
108,2026-02-09,East,Neha,Furniture,Cabinet,8,66454,531632,33032.13,74432.74,Card
109,2025-06-23,Central,Kiran,Electronics,Monitor,3,74158,222474,25218.54,53946.08,Card
110,2026-03-14,North,Priya,Furniture,Bookshelf,13,45785,595205,1001.82,233185.34,UPI
111,2025-10-28,East,Rahul,Furniture,Cabinet,12,25644,307728,33411.46,22675.4,Net Banking
112,2025-06-01,East,Meera,Appliances,Air Conditioner,2,4678,9356,219.66,2916.13,Card
113,2025-11-03,East,Priya,Electronics,Tablet,13,44840,582920,114442.28,23713.85,Net Banking
114,2025-06-22,East,Kiran,Office Supplies,Envelope,6,8694,52164,5148.94,13761.09,Cash
115,2026-06-08,North,Arjun,Office Supplies,Marker,6,22650,135900,4303.23,31907.2,Card
116,2025-07-16,West,Vikram,Furniture,Cabinet,8,49523,396184,45996.44,58963.95,Net Banking
117,2025-10-19,East,Rohit,Furniture,Bookshelf,9,62137,559233,63817.12,187682.0,UPI
118,2025-03-23,West,Sneha,Appliances,Washing Machine,9,61688,555192,93053.94,24551.14,Net Banking
119,2026-05-15,South,Neha,Electronics,Keyboard,10,2579,25790,1291.45,7374.44,Cash
120,2025-04-11,West,Rahul,Appliances,Refrigerator,10,63031,630310,39695.79,193640.85,Net Banking
121,2025-10-23,South,Rohit,Electronics,Mouse,6,22593,135558,5152.16,40854.84,Net Banking
122,2025-11-02,West,Vikram,Office Supplies,Envelope,15,41595,623925,37835.22,152541.17,Net Banking
123,2025-01-31,West,Vikram,Appliances,Microwave,11,69798,767778,35769.83,252853.85,Card
124,2025-04-30,North,Meera,Furniture,Chair,1,42853,42853,3899.89,12578.06,Cash
125,2025-09-14,North,Vikram,Appliances,Air Conditioner,2,51540,103080,15215.1,28154.13,UPI
126,2026-03-01,West,Rahul,Appliances,Microwave,11,1513,16643,1217.52,5104.16,Card
127,2025-11-12,East,Sneha,Appliances,Air Conditioner,1,55989,55989,2034.94,17269.24,Cash
128,2025-01-14,South,Rohit,Appliances,Air Conditioner,9,25710,231390,4678.45,68946.15,Net Banking
129,2026-06-11,North,Anjali,Office Supplies,Envelope,7,61488,430416,45089.13,92571.5,Cash
130,2025-01-02,North,Vikram,Furniture,Chair,5,4983,24915,792.8,8377.98,Cash
131,2026-03-15,East,Neha,Electronics,Mouse,8,13506,108048,17597.65,18283.94,UPI
132,2026-01-17,North,Meera,Appliances,Microwave,3,37264,111792,22174.98,-12.55,Net Banking
133,2025-10-21,South,Vikram,Office Supplies,Marker,9,37764,339876,38760.77,85864.12,Net Banking
134,2025-05-20,South,Sneha,Furniture,Table,9,38048,342432,11414.91,126439.3,Card
135,2025-06-12,South,Rahul,Appliances,Refrigerator,13,32499,422487,60397.0,22107.58,UPI
136,2025-10-11,West,Arjun,Furniture,Chair,6,3334,20004,990.23,3917.61,Cash
137,2025-04-15,East,Rohit,Furniture,Cabinet,15,53035,795525,11163.66,329992.08,Card
138,2025-01-14,West,Meera,Electronics,Laptop,13,46617,606021,2721.88,147203.47,UPI
139,2025-08-29,West,Sneha,Furniture,Cabinet,15,36221,543315,7353.91,195396.23,Net Banking
140,2026-06-15,South,Rohit,Furniture,Bookshelf,13,64850,843050,62219.56,128188.36,Card
141,2025-02-19,West,Rahul,Office Supplies,Envelope,10,20652,206520,13002.0,79673.87,Cash
142,2025-12-02,West,Rohit,Appliances,Mixer,1,76096,76096,6777.07,10237.09,UPI
143,2025-06-14,East,Kiran,Office Supplies,Stapler,12,77416,928992,27324.58,204376.42,UPI
144,2025-09-19,Central,Rahul,Electronics,Monitor,3,49738,149214,28332.0,4607.69,Cash
145,2025-05-05,East,Arjun,Furniture,Desk,12,68082,816984,71022.2,216709.6,Cash
146,2025-04-04,South,Vikram,Office Supplies,Envelope,3,67262,201786,24124.74,12699.37,Cash
147,2025-09-15,Central,Neha,Electronics,Mouse,8,39356,314848,25254.27,62140.68,Card
148,2025-02-08,North,Kiran,Appliances,Refrigerator,13,39591,514683,100852.07,57216.88,Net Banking
149,2025-02-05,North,Neha,Furniture,Chair,6,15958,95748,870.24,38455.34,Card
150,2026-03-01,South,Anjali,Appliances,Washing Machine,14,25893,362502,40741.58,54508.77,UPI
151,2025-05-14,Central,Vikram,Furniture,Bookshelf,5,13911,69555,1016.56,18755.44,Net Banking
152,2025-01-06,North,Meera,Appliances,Refrigerator,4,61905,247620,5405.4,63810.22,Net Banking
153,2026-04-21,West,Neha,Electronics,Mouse,13,40562,527306,94443.54,13626.62,UPI
154,2025-01-26,West,Sneha,Appliances,Microwave,2,55543,111086,4012.36,39124.82,Cash
155,2025-04-26,North,Anjali,Office Supplies,Stapler,4,66358,265432,30213.31,34086.66,Cash
156,2025-10-22,West,Rohit,Electronics,Keyboard,2,55959,111918,4914.57,28882.66,UPI
157,2026-02-26,East,Neha,Office Supplies,Notebook,13,49891,648583,118368.77,94705.3,Card
158,2025-12-21,West,Meera,Furniture,Cabinet,10,36966,369660,16124.19,140011.22,Card
159,2025-11-20,South,Anjali,Furniture,Cabinet,8,68928,551424,5785.9,237706.46,UPI
160,2025-12-07,Central,Kiran,Furniture,Bookshelf,9,38407,345663,51731.83,47373.26,Card
161,2025-12-15,East,Rahul,Electronics,Tablet,8,75240,601920,116508.13,135387.34,Card
162,2025-11-26,North,Rohit,Appliances,Mixer,10,64958,649580,28873.41,118869.32,Net Banking
163,2025-02-27,East,Anjali,Electronics,Tablet,2,44402,88804,3138.95,30626.86,Card
164,2025-07-14,Central,Vikram,Furniture,Desk,8,3490,27920,5044.44,7097.51,Cash
165,2026-04-13,East,Rohit,Appliances,Air Conditioner,15,53699,805485,3104.85,264967.24,Card
166,2025-02-03,North,Rohit,Electronics,Monitor,4,14038,56152,1455.23,14948.57,Card
167,2026-05-29,Central,Anjali,Furniture,Desk,12,8109,97308,2406.63,20683.68,Card
168,2025-10-15,West,Sneha,Electronics,Phone,4,62851,251404,47968.6,21469.62,Cash
169,2025-07-13,South,Arjun,Furniture,Desk,1,13134,13134,48.42,5705.35,Card
170,2025-03-12,West,Rohit,Appliances,Refrigerator,6,47204,283224,53862.2,12719.23,Net Banking
171,2026-05-16,South,Vikram,Electronics,Tablet,15,22191,332865,19451.51,116549.66,UPI
172,2025-02-15,North,Anjali,Office Supplies,Printer Paper,10,6581,65810,2248.95,22307.54,Card
173,2025-04-25,Central,Neha,Electronics,Keyboard,5,34639,173195,10762.36,53054.11,Net Banking
174,2026-02-22,West,Meera,Furniture,Chair,2,77489,154978,26757.71,15655.47,Card
175,2026-03-08,Central,Priya,Appliances,Refrigerator,5,6581,32905,4822.67,9706.86,UPI
176,2025-08-18,North,Priya,Furniture,Chair,7,46484,325388,31875.93,111331.0,UPI
177,2025-05-12,East,Rahul,Office Supplies,Envelope,7,76212,533484,6866.82,96616.8,Net Banking
178,2025-08-31,West,Neha,Furniture,Cabinet,6,66159,396954,49025.84,37391.4,Net Banking
179,2025-01-11,East,Kiran,Electronics,Monitor,2,14179,28358,5127.13,101.87,UPI
180,2026-03-25,South,Sneha,Office Supplies,Pen Set,6,19350,116100,4126.61,20418.35,UPI
181,2025-08-29,North,Rahul,Furniture,Sofa,3,51612,154836,12780.88,44699.94,Cash
182,2025-12-22,South,Rohit,Electronics,Tablet,1,2407,2407,59.13,565.85,Net Banking
183,2026-05-26,North,Rohit,Appliances,Refrigerator,3,49877,149631,16691.62,47858.47,Cash
184,2025-08-07,North,Sneha,Appliances,Mixer,6,13214,79284,14201.7,15980.82,Net Banking
185,2025-01-01,West,Arjun,Furniture,Bookshelf,3,54380,163140,25515.84,44887.23,Card
186,2025-11-03,North,Rohit,Appliances,Washing Machine,8,45431,363448,1416.05,83328.06,Cash
187,2026-02-04,Central,Meera,Electronics,Phone,7,13117,91819,17178.08,3277.52,Cash
188,2026-06-11,North,Arjun,Furniture,Bookshelf,4,54082,216328,23802.17,73170.43,UPI
189,2026-06-12,East,Neha,Appliances,Air Conditioner,3,41383,124149,12921.34,34613.49,Net Banking
190,2025-08-21,West,Arjun,Furniture,Table,5,29276,146380,17086.33,41259.81,Card
191,2026-02-16,East,Priya,Appliances,Mixer,7,65339,457373,67390.19,58882.95,Card
192,2026-05-22,West,Sneha,Appliances,Washing Machine,13,19011,247143,34161.16,17132.7,Card
193,2025-01-01,North,Kiran,Electronics,Monitor,14,3701,51814,7325.29,2457.81,UPI
194,2025-05-04,North,Neha,Electronics,Tablet,13,6710,87230,13026.18,20526.83,UPI
195,2025-08-05,West,Vikram,Electronics,Monitor,7,77978,545846,106410.66,13734.62,Net Banking
196,2026-04-03,East,Sneha,Appliances,Refrigerator,10,44310,443100,79246.65,690.62,Cash
197,2025-05-20,West,Rahul,Electronics,Phone,2,13091,26182,4679.89,810.74,Card
198,2025-09-16,East,Meera,Electronics,Tablet,4,54213,216852,30798.75,25803.51,UPI
199,2026-03-12,Central,Neha,Office Supplies,Notebook,2,39497,78994,7265.47,8423.18,UPI
200,2026-03-15,East,Sneha,Office Supplies,Stapler,10,72811,728110,58972.6,144100.69,Cash
201,2025-06-28,East,Rahul,Office Supplies,Printer Paper,13,65971,857623,143835.9,154563.04,Card
202,2025-06-12,South,Neha,Furniture,Sofa,1,22918,22918,1927.3,2365.91,Card
203,2025-11-13,North,Vikram,Appliances,Air Conditioner,7,2904,20328,499.32,7533.99,Card
204,2025-09-30,North,Neha,Electronics,Phone,11,48197,530167,40063.76,112607.07,Card
205,2025-01-18,West,Kiran,Electronics,Mouse,11,62328,685608,5137.27,209835.89,Net Banking
206,2025-04-12,East,Vikram,Appliances,Microwave,4,60313,241252,14511.06,32870.09,UPI
207,2025-12-23,West,Vikram,Appliances,Washing Machine,11,48968,538648,4265.56,200286.87,Net Banking
208,2025-08-26,West,Rohit,Appliances,Mixer,2,62086,124172,19337.52,33195.01,Cash
209,2025-09-07,East,Priya,Office Supplies,Envelope,5,21177,105885,3998.36,43409.01,UPI
210,2025-09-18,North,Priya,Appliances,Mixer,2,64281,128562,10655.27,12550.21,UPI
211,2025-10-10,West,Priya,Appliances,Washing Machine,10,68550,685500,91710.44,51730.88,Net Banking
212,2025-10-27,West,Anjali,Office Supplies,Printer Paper,10,60857,608570,67864.72,90242.95,Card
213,2025-11-09,South,Neha,Office Supplies,Stapler,9,32681,294129,18038.99,71381.41,Net Banking
214,2025-01-31,East,Arjun,Appliances,Air Conditioner,2,1557,3114,300.88,744.76,Card
215,2025-02-11,Central,Meera,Office Supplies,Stapler,10,65946,659460,49432.18,157792.46,Cash
216,2026-04-23,West,Rahul,Office Supplies,Pen Set,1,46669,46669,2952.43,16393.72,UPI
217,2025-01-18,Central,Anjali,Electronics,Tablet,13,43562,566306,60802.61,170322.99,Cash
218,2025-01-26,North,Meera,Office Supplies,Stapler,12,12952,155424,22333.31,31759.92,Net Banking
219,2025-01-14,Central,Meera,Electronics,Monitor,12,58235,698820,51048.31,201915.45,UPI
220,2026-03-25,East,Meera,Appliances,Microwave,9,28753,258777,48143.07,38110.61,Cash
221,2025-10-15,North,Priya,Appliances,Mixer,12,67019,804228,100656.54,90305.99,Net Banking
222,2026-02-28,North,Rohit,Furniture,Cabinet,10,49132,491320,21071.63,199644.07,Cash
223,2025-05-31,Central,Rohit,Office Supplies,Notebook,15,31252,468780,70497.77,132044.06,Card
224,2025-03-31,South,Arjun,Furniture,Cabinet,5,73565,367825,56012.55,100198.29,UPI
225,2025-10-16,South,Meera,Furniture,Cabinet,5,29446,147230,3738.7,32607.74,Net Banking
226,2025-08-02,East,Sneha,Electronics,Laptop,15,75537,1133055,62302.17,326188.33,UPI
227,2025-04-18,Central,Arjun,Appliances,Washing Machine,10,43627,436270,82465.59,43475.65,UPI
228,2025-10-17,East,Sneha,Office Supplies,Marker,12,30186,362232,41847.75,102933.04,Card
229,2026-01-12,North,Rahul,Electronics,Laptop,10,13156,131560,8500.82,37251.23,Cash
230,2025-07-17,East,Sneha,Furniture,Table,4,46911,187644,14672.9,46572.87,Cash
231,2025-01-24,East,Kiran,Appliances,Washing Machine,12,49222,590664,43066.23,80753.51,Net Banking
232,2025-07-17,South,Arjun,Appliances,Washing Machine,15,27567,413505,61225.57,111104.0,Card
233,2025-02-05,North,Anjali,Electronics,Laptop,9,4399,39591,49.8,16965.01,Cash
234,2025-01-07,Central,Neha,Furniture,Sofa,4,32528,130112,3180.07,44651.65,Cash
235,2026-05-29,North,Meera,Office Supplies,Notebook,14,53011,742154,9300.29,276338.92,Net Banking
236,2026-01-20,East,Sneha,Appliances,Refrigerator,2,14484,28968,464.05,5105.17,Net Banking
237,2026-02-05,East,Meera,Electronics,Mouse,3,66903,200709,36863.27,23146.27,Net Banking
238,2026-01-25,East,Vikram,Electronics,Tablet,15,14106,211590,11220.54,72915.26,Card
239,2026-06-15,South,Priya,Electronics,Monitor,4,13993,55972,4461.12,14197.95,Net Banking
240,2025-06-14,Central,Arjun,Electronics,Laptop,13,55543,722059,13578.61,222040.68,UPI
241,2025-04-05,Central,Kiran,Office Supplies,Pen Set,7,51585,361095,55618.87,66046.87,UPI
242,2025-07-04,West,Rohit,Office Supplies,Notebook,6,30522,183132,18329.0,57934.14,UPI
243,2025-08-25,West,Sneha,Office Supplies,Pen Set,4,26017,104068,18143.13,4874.69,Card
244,2026-05-26,Central,Vikram,Office Supplies,Marker,14,55275,773850,122100.63,147507.59,UPI
245,2026-03-23,East,Rahul,Electronics,Tablet,11,14533,159863,15777.78,50242.49,Card
246,2025-08-27,West,Priya,Electronics,Laptop,2,34947,69894,7075.64,6437.55,Net Banking
247,2025-12-13,Central,Kiran,Office Supplies,Pen Set,11,6348,69828,6772.19,21533.46,Cash
248,2025-03-03,Central,Rahul,Appliances,Microwave,12,50728,608736,106765.73,163338.39,Cash
249,2026-01-08,East,Priya,Appliances,Mixer,7,75336,527352,2674.97,218913.01,Cash
250,2026-06-10,North,Kiran,Furniture,Cabinet,13,74439,967707,44510.95,268201.81,Cash
251,2025-07-13,North,Sneha,Appliances,Refrigerator,4,990,3960,245.55,669.77,Card
252,2025-07-15,Central,Kiran,Appliances,Refrigerator,13,28887,375531,39098.15,63186.21,Cash
253,2026-05-03,Central,Neha,Appliances,Air Conditioner,15,34357,515355,51423.73,76909.71,Cash
254,2025-04-25,East,Anjali,Appliances,Refrigerator,11,79786,877646,110340.12,223965.71,Cash
255,2025-06-16,West,Rahul,Electronics,Tablet,5,56382,281910,27303.56,52200.05,Cash
256,2026-01-15,East,Kiran,Electronics,Mouse,4,73028,292112,55070.18,72323.64,Card
257,2025-11-24,South,Priya,Appliances,Mixer,1,46581,46581,1748.9,13798.13,UPI
258,2025-12-20,East,Rohit,Furniture,Chair,12,79565,954780,135281.85,194920.94,UPI
259,2025-03-27,South,Sneha,Appliances,Refrigerator,12,64833,777996,13117.32,215537.47,UPI
260,2025-10-02,East,Vikram,Electronics,Tablet,10,71094,710940,137374.95,17254.55,Net Banking
261,2026-05-24,South,Vikram,Electronics,Laptop,8,47842,382736,15053.36,120790.58,Card
262,2025-10-19,East,Sneha,Appliances,Air Conditioner,13,40349,524537,38865.23,139078.12,Card
263,2026-04-19,West,Vikram,Office Supplies,Notebook,2,78974,157948,29892.47,15905.14,Card
264,2025-10-24,South,Sneha,Office Supplies,Envelope,9,33797,304173,46450.02,35199.98,UPI
265,2025-09-05,West,Meera,Electronics,Tablet,14,50888,712432,66303.9,119875.78,Cash
266,2025-09-30,Central,Rahul,Appliances,Air Conditioner,9,39159,352431,47600.05,104499.09,Net Banking
267,2025-11-27,East,Anjali,Appliances,Refrigerator,15,72156,1082340,24588.45,225579.51,Net Banking
268,2026-04-21,Central,Kiran,Office Supplies,Printer Paper,2,50559,101118,15235.71,6185.12,Card
269,2025-09-19,West,Neha,Office Supplies,Notebook,1,66090,66090,7538.9,7923.77,Net Banking
270,2026-05-01,West,Anjali,Furniture,Sofa,13,68054,884702,64021.59,99204.38,UPI
271,2025-03-09,East,Kiran,Furniture,Cabinet,11,62183,684013,86120.68,98462.25,Card
272,2025-01-12,East,Vikram,Furniture,Sofa,4,15558,62232,10632.73,13991.26,Cash
273,2026-01-17,East,Rohit,Office Supplies,Pen Set,12,69903,838836,151741.06,8016.92,Net Banking
274,2026-05-28,West,Rohit,Furniture,Cabinet,1,72557,72557,13598.85,4983.26,Card
275,2025-10-01,South,Neha,Furniture,Sofa,15,17081,256215,43234.18,4794.16,UPI
276,2026-03-19,East,Priya,Office Supplies,Stapler,9,7402,66618,11316.99,12290.17,Net Banking
277,2025-04-11,West,Rohit,Electronics,Monitor,5,4244,21220,1864.7,4661.36,Net Banking
278,2026-05-05,South,Arjun,Appliances,Washing Machine,10,62406,624060,59073.73,78808.49,Net Banking
279,2025-03-04,East,Priya,Office Supplies,Stapler,13,23038,299494,26417.17,29552.7,Card
280,2026-01-25,Central,Priya,Appliances,Washing Machine,7,28398,198786,14438.47,67854.96,Cash
281,2025-08-11,West,Vikram,Appliances,Microwave,1,8513,8513,616.5,2037.61,UPI
282,2025-01-28,North,Neha,Appliances,Microwave,15,38575,578625,103288.9,94473.66,Card
283,2025-08-06,North,Rohit,Office Supplies,Stapler,1,35862,35862,5387.03,1315.29,UPI
284,2025-07-11,East,Anjali,Appliances,Refrigerator,1,68591,68591,9634.27,17398.98,UPI
